dd,mon,year,allmn
1/1/14,1,2014,37
1/2/14,1,2014,37
1/3/14,1,2014,37
1/4/14,1,2014,37
1/5/14,1,2014,37
1/6/14,1,2014,37
1/7/14,1,2014,37
1/8/14,1,2014,37
1/9/14,1,2014,37
1/10/14,1,2014,37
1/11/14,1,2014,37
1/12/14,1,2014,37
1/13/14,1,2014,37
1/14/14,1,2014,37
1/15/14,1,2014,37
1/16/14,1,2014,37
1/17/14,1,2014,37
1/18/14,1,2014,37
1/19/14,1,2014,37
1/20/14,1,2014,37
1/21/14,1,2014,37
1/22/14,1,2014,37
1/23/14,1,2014,37
1/24/14,1,2014,37
1/25/14,1,2014,37
1/26/14,1,2014,37
1/27/14,1,2014,37
1/28/14,1,2014,37
1/29/14,1,2014,37
1/30/14,1,2014,37
1/31/14,1,2014,37
2/1/14,2,2014,38
2/2/14,2,2014,38
2/3/14,2,2014,38
2/4/14,2,2014,38
2/5/14,2,2014,38
2/6/14,2,2014,38
2/7/14,2,2014,38
2/8/14,2,2014,38
2/9/14,2,2014,38
2/10/14,2,2014,38
2/11/14,2,2014,38
2/12/14,2,2014,38
2/13/14,2,2014,38
2/14/14,2,2014,38
2/15/14,2,2014,38
2/16/14,2,2014,38
2/17/14,2,2014,38
2/18/14,2,2014,38
2/19/14,2,2014,38
2/20/14,2,2014,38
2/21/14,2,2014,38
2/22/14,2,2014,38
2/23/14,2,2014,38
2/24/14,2,2014,38
2/25/14,2,2014,38
2/26/14,2,2014,38
2/27/14,2,2014,38
2/28/14,2,2014,38
3/1/14,3,2014,39
3/2/14,3,2014,39
3/3/14,3,2014,39
3/4/14,3,2014,39
3/5/14,3,2014,39
3/6/14,3,2014,39
3/7/14,3,2014,39
3/8/14,3,2014,39
3/9/14,3,2014,39
3/10/14,3,2014,39
3/11/14,3,2014,39
3/12/14,3,2014,39
3/13/14,3,2014,39
3/14/14,3,2014,39
3/15/14,3,2014,39
3/16/14,3,2014,39
3/17/14,3,2014,39
3/18/14,3,2014,39
3/19/14,3,2014,39
3/20/14,3,2014,39
3/21/14,3,2014,39
3/22/14,3,2014,39
3/23/14,3,2014,39
3/24/14,3,2014,39
3/25/14,3,2014,39
3/26/14,3,2014,39
3/27/14,3,2014,39
3/28/14,3,2014,39
3/29/14,3,2014,39
3/30/14,3,2014,39
3/31/14,3,2014,39
4/1/14,4,2014,40
4/2/14,4,2014,40
4/3/14,4,2014,40
4/4/14,4,2014,40
4/5/14,4,2014,40
4/6/14,4,2014,40
4/7/14,4,2014,40
4/8/14,4,2014,40
4/9/14,4,2014,40
4/10/14,4,2014,40
4/11/14,4,2014,40
4/12/14,4,2014,40
4/13/14,4,2014,40
4/14/14,4,2014,40
4/15/14,4,2014,40
4/16/14,4,2014,40
4/17/14,4,2014,40
4/18/14,4,2014,40
4/19/14,4,2014,40
4/20/14,4,2014,40
4/21/14,4,2014,40
4/22/14,4,2014,40
4/23/14,4,2014,40
4/24/14,4,2014,40
4/25/14,4,2014,40
4/26/14,4,2014,40
4/27/14,4,2014,40
4/28/14,4,2014,40
4/29/14,4,2014,40
4/30/14,4,2014,40
5/1/14,5,2014,41
5/2/14,5,2014,41
5/3/14,5,2014,41
5/4/14,5,2014,41
5/5/14,5,2014,41
5/6/14,5,2014,41
5/7/14,5,2014,41
5/8/14,5,2014,41
5/9/14,5,2014,41
5/10/14,5,2014,41
5/11/14,5,2014,41
5/12/14,5,2014,41
5/13/14,5,2014,41
5/14/14,5,2014,41
5/15/14,5,2014,41
5/16/14,5,2014,41
5/17/14,5,2014,41
5/18/14,5,2014,41
5/19/14,5,2014,41
5/20/14,5,2014,41
5/21/14,5,2014,41
5/22/14,5,2014,41
5/23/14,5,2014,41
5/24/14,5,2014,41
5/25/14,5,2014,41
5/26/14,5,2014,41
5/27/14,5,2014,41
5/28/14,5,2014,41
5/29/14,5,2014,41
5/30/14,5,2014,41
5/31/14,5,2014,41
6/1/14,6,2014,42
6/2/14,6,2014,42
6/3/14,6,2014,42
6/4/14,6,2014,42
6/5/14,6,2014,42
6/6/14,6,2014,42
6/7/14,6,2014,42
6/8/14,6,2014,42
6/9/14,6,2014,42
6/10/14,6,2014,42
6/11/14,6,2014,42
6/12/14,6,2014,42
6/13/14,6,2014,42
6/14/14,6,2014,42
6/15/14,6,2014,42
6/16/14,6,2014,42
6/17/14,6,2014,42
6/18/14,6,2014,42
6/19/14,6,2014,42
6/20/14,6,2014,42
6/21/14,6,2014,42
6/22/14,6,2014,42
6/23/14,6,2014,42
